Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	 53.647757	128.000000	128.000000	 55.408669	  min	  0.995391	  1.000000	  1.000000	  0.996927	     
    4	 55.968816	128.000000	 93.516541	 57.729538	     	  0.997315	  1.000000	  1.000000	  0.998210	     
    5	 53.490158	 87.215654	 78.659327	 55.247310	  min	  0.996037	  0.999998	  0.999987	  0.997356	     
    6	 53.707293	 76.608675	 69.864158	 55.436450	     	  0.994762	  0.999981	  0.999916	  0.996491	     
    7	 52.668694	 71.017223	 66.215720	 54.366215	  min	  0.994500	  0.999944	  0.999844	  0.996298	     
    8	 54.959301	 67.798676	 57.454878	 56.099170	     	  0.996793	  0.999903	  0.998412	  0.997581	     
    9	 52.198008	 66.377717	 58.763607	 53.686737	  min	  0.995192	  0.999763	  0.998557	  0.996514	     
   10	 53.321965	 61.136080	 60.128922	 54.694674	     	  0.994941	  0.999445	  0.999152	  0.996393	     
   11	 51.931916	 61.496201	 60.906451	 53.442653	  min	  0.994158	  0.999288	  0.999134	  0.995842	     
   12	 53.739693	 60.821723	 58.890764	 54.987913	     	  0.995103	  0.999144	  0.998762	  0.996387	     
   13	 52.542840	 59.369704	 56.867553	 53.718478	     	  0.993672	  0.998801	  0.997812	  0.995217	     
   14	 52.332846	 56.950130	 54.582512	 53.176151	  min	  0.994003	  0.998635	  0.997130	  0.995296	     
   15	 52.616548	 57.470465	 56.490168	 53.643111	     	  0.993586	  0.998093	  0.997427	  0.994977	     
   16	 51.963844	 57.343461	 56.246879	 53.058936	  min	  0.993008	  0.997966	  0.997302	  0.994550	     
