Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	 53.647757	128.000000	128.000000	 55.408669	  min	  0.995391	  1.000000	  1.000000	  0.996927	     
    4	 55.968816	128.000000	 93.516541	 57.729538	     	  0.997315	  1.000000	  1.000000	  0.998210	     
    5	 53.486210	 87.215654	 78.659327	 55.243365	  min	  0.996031	  0.999998	  0.999987	  0.997352	     
    6	 53.706597	 76.608675	 69.864158	 55.435760	     	  0.994762	  0.999981	  0.999916	  0.996491	     
    7	 52.662684	 71.017223	 66.215720	 54.360292	  min	  0.994496	  0.999944	  0.999844	  0.996295	     
    8	 54.958584	 67.798676	 57.454878	 56.098549	     	  0.996793	  0.999903	  0.998412	  0.997581	     
    9	 52.185721	 66.352055	 58.752283	 53.674379	  min	  0.995263	  0.999762	  0.998549	  0.996560	     
   10	 52.966385	 60.711364	 59.738381	 54.334787	     	  0.995173	  0.999465	  0.999165	  0.996553	     
   11	 51.838058	 61.480773	 60.897096	 53.353326	  min	  0.994485	  0.999286	  0.999136	  0.996061	     
   12	 53.739709	 60.821723	 58.890764	 54.987927	     	  0.995104	  0.999144	  0.998762	  0.996387	     
   13	 52.496568	 59.363245	 56.789653	 53.671443	     	  0.993675	  0.998798	  0.997793	  0.995215	     
   14	 52.294961	 56.964900	 54.509229	 53.137639	  min	  0.993951	  0.998642	  0.997131	  0.995263	     
   15	 52.366875	 57.245068	 56.275094	 53.398093	     	  0.993326	  0.998149	  0.997448	  0.994817	     
   16	 51.283546	 57.174859	 55.987047	 52.441140	  min	  0.992684	  0.997988	  0.997341	  0.994344	     
