Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
   56	 48.934699	 49.702598	 48.774874	 49.025822	     	  0.990965	  0.990295	  0.990231	  0.990731	     
   57	 46.911882	 48.725992	 47.490458	 47.263143	  min	  0.990625	  0.989139	  0.988853	  0.990082	     
   58	 48.224863	 49.137060	 48.111403	 48.344463	     	  0.991130	  0.989650	  0.989665	  0.990639	     
   59	 47.123529	 48.874786	 47.855035	 47.491054	     	  0.990681	  0.989491	  0.989451	  0.990278	     
   60	 48.886261	 49.556548	 48.735053	 48.964843	     	  0.990919	  0.990063	  0.990335	  0.990679	     
   61	 47.107786	 48.920435	 48.008544	 47.508266	     	  0.990799	  0.989565	  0.989859	  0.990437	     
   62	 48.089038	 48.928763	 48.077954	 48.216289	     	  0.991063	  0.989367	  0.989668	  0.990548	     
   63	 47.035539	 48.597464	 47.830245	 47.389250	     	  0.990636	  0.989119	  0.989547	  0.990202	     
   64	 48.790490	 49.440649	 48.592076	 48.857812	     	  0.990765	  0.989783	  0.990124	  0.990494	     
   65	 46.881985	 48.410242	 47.474417	 47.200397	  min	  0.990481	  0.988582	  0.988927	  0.989905	     
   66	 47.935470	 48.667348	 47.689545	 48.006127	     	  0.990767	  0.988734	  0.988937	  0.990123	     
   67	 46.764768	 47.996238	 47.024406	 46.991291	  min	  0.990193	  0.987900	  0.987979	  0.989442	     
   68	 48.312265	 48.810104	 47.915011	 48.321337	     	  0.990354	  0.988741	  0.989007	  0.989861	     
   69	 46.734320	 47.777919	 46.733336	 46.891583	  min	  0.990216	  0.987256	  0.987378	  0.989250	     
   70	 47.767919	 48.416125	 47.499851	 47.822534	     	  0.990553	  0.988215	  0.988504	  0.989822	     
   71	 46.709801	 47.567219	 46.532403	 46.810461	  min	  0.990128	  0.986959	  0.986873	  0.989058	     
   72	 48.138461	 48.556142	 47.670583	 48.122526	     	  0.990055	  0.988115	  0.988447	  0.989464	     
   73	 46.715849	 47.523862	 46.409304	 46.786365	  min	  0.990008	  0.986675	  0.986516	  0.988870	     
   74	 47.662985	 48.170781	 47.355568	 47.689847	     	  0.990352	  0.987663	  0.988091	  0.989527	     
   75	 46.661508	 47.355512	 46.313228	 46.708219	  min	  0.989786	  0.986419	  0.986207	  0.988629	     
   76	 47.986748	 48.319092	 47.460488	 47.947009	     	  0.989769	  0.987508	  0.988021	  0.989101	     
   77	 46.429629	 47.356620	 46.240803	 46.537926	  min	  0.989593	  0.986146	  0.986057	  0.988429	     
   78	 47.183742	 47.872161	 46.930405	 47.246824	     	  0.989813	  0.986895	  0.987155	  0.988884	     
   79	 46.291440	 47.296702	 46.250263	 46.436507	  min	  0.989256	  0.986100	  0.985950	  0.988179	     
   80	 47.810038	 48.080446	 47.256246	 47.755632	     	  0.989440	  0.986836	  0.987441	  0.988673	     
   81	 46.245392	 47.314424	 46.249872	 46.407047	  min	  0.989250	  0.985838	  0.985809	  0.988108	     
   82	 47.107141	 47.653091	 46.698727	 47.121296	     	  0.989633	  0.986270	  0.986410	  0.988535	     
   83	 46.256117	 47.154177	 46.189854	 46.382011	  min	  0.989079	  0.985586	  0.985605	  0.987918	     
   84	 47.648405	 47.821319	 46.983399	 47.557839	     	  0.989164	  0.986166	  0.986713	  0.988256	     
   85	 46.180019	 47.018865	 46.090086	 46.293478	  min	  0.989043	  0.984981	  0.985204	  0.987726	     
   86	 46.791725	 47.251023	 46.372606	 46.791031	     	  0.989256	  0.985212	  0.985534	  0.987962	     
