Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
    0	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    1	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    2	128.000000	128.000000	128.000000	128.000000	     	  1.000000	  1.000000	  1.000000	  1.000000	     
    3	 53.650921	128.000000	128.000000	 55.411834	  min	  0.995359	  1.000000	  1.000000	  0.996906	     
    4	 55.968816	128.000000	 93.516541	 57.729538	     	  0.997315	  1.000000	  1.000000	  0.998210	     
    5	 53.636625	 87.215654	 78.659327	 55.393648	  min	  0.995930	  0.999998	  0.999987	  0.997284	     
    6	 53.821644	 76.608675	 69.871656	 55.550004	     	  0.994387	  0.999981	  0.999915	  0.996241	     
    7	 53.005164	 71.017223	 66.444815	 54.700241	  min	  0.994169	  0.999944	  0.999845	  0.996077	     
    8	 54.959301	 67.798676	 57.454878	 56.099170	     	  0.996793	  0.999903	  0.998412	  0.997581	     
    9	 52.867633	 66.546574	 58.891263	 54.321849	  min	  0.995248	  0.999767	  0.998606	  0.996561	     
   10	 53.539336	 61.780017	 60.721088	 54.944657	     	  0.994757	  0.999430	  0.999154	  0.996269	     
   11	 52.555816	 61.533637	 60.946158	 54.031623	  min	  0.994061	  0.999294	  0.999137	  0.995779	     
   12	 53.933507	 60.830137	 59.216436	 55.182300	     	  0.995301	  0.999133	  0.998760	  0.996516	     
   13	 52.828049	 59.360687	 57.265475	 53.998861	  min	  0.994279	  0.998816	  0.997966	  0.995650	     
   14	 53.505697	 57.830613	 55.754373	 54.327795	     	  0.994527	  0.998560	  0.997293	  0.995660	     
   15	 52.960643	 57.411785	 56.709078	 53.947262	  min	  0.994154	  0.998056	  0.997531	  0.995367	     
   16	 52.351294	 57.492902	 56.771175	 53.441960	  min	  0.993619	  0.997984	  0.997418	  0.994979	     
